;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
impôt_revenu;55101;58545;65510;72519;75389;75897;76554;77622;79215;87954;97777;99781;109781
impôts_locaux;7805;5668;6705;4295;2780;2945;2957;3222;3407;3201;2905;2500;2289
impôt_sociétés;49767;52975;56432;61914;58436;60892;57774;66097;65320;70503;66990;76273;88903
autres_impôts;27097;12889;15073;13992;13569;14484;12967;13119;11235;20104;18475;28219;26113
taxe_énergétiques;14202;14261;13498;13759;13225;13774;15878;11114;13691;13378;9054;20230;20148
tva;170724;178752;184666;185488;187931;193518;196722;205751;211656;188574;176570;158581;171545
taxes_indirectes;18782;16324;17110;18260;19107;21806;24569;31280;36608;37638;35203;40539;37270
total;343479;339413;358994;370228;370437;383317;387422;408205;421132;421353;406975;426124;456049
